tweet,tag
the uks answer and gamergate,1
nah abi gon na get married rich white guy and gon na give half the money when theyre divorced,0
look for our latest indiegogo campaign coming out soon help turn young girls into great leaders womensrights,2
whats wrong with getting dick how come when guys theyre praised for you sexist,2
sehri time seems turning into lets get dad woke racepolitics ableism ramadan,0
and when men can only empathize they picture their daughter going through the same thing,2
woman you see sex object you see atm,1
one wants see feminists naked the petty vindictive bytches want drag everyone else down their level,1
are actually watching video radical feminism history this the funniest movie ive ever seen,1
insulting thinking you can make switch like that wasnt written for wasnt for,0
likeafeminist you dont identify feminist clearly you dont love yourself sweetie,2
why men front women you misogynistic pig,2
how spot fashionfeminist they claim feminism about equality feminist actions demonstrate otherwise,1
with without this farmers tan bang bare bitches misogynistcolloquialisms dontsaybitch,0
damn that wage gap sneaky men work longer hours dangerous jobs and get paid for,1
howtospotafeminist feminists believe rape culture instead their erotomania delusions persecution,1
women should come with moneyback guarantee this doesnt work out because youre dumb bitch should get money back,1
child had recycle own socks from festering laundry heap feminist mother says not your slave,1
wonder when feminism top gon na arrive need bit happiness with the stress studying collegelife,2
friendly reminder that the gender pay gap myth,1
staying well informed sexual violence the news important yet often leaves ranting screen rapeculture,2
why dont you love twitter,0
feminists believe mothers should have say over the fathers body his job and his money,1
feminists saying they are atheistsskeptics quite contradiction they worship their own vulva gamergate,1
blocked the most frequent posters yesallwomen which ive never even debated with cant handle facts,1
well you are right its pointless for you try youre still example why there are,0
not you contemplate getting fired feminists will get you fired gamergate,1
you are not penetrating our vaginas are engulfing your penises insideamyschumer,2
the statistics show that male victims rape are more likely straight than gay,0
women hollywood are still getting paid less,2
texting telling him shave today find him optimally bangable next time see him,1
feminists were honest careful you use logic this conversation will somehow drag into rape,1
feminism nothing more than cult that closes ranks whenever someone dares question them,1
half victims half accomplices like everyone else simone beavoir,0
wont complain about equal rep girls gaming princess peach zelda are kickass women samus beast hello gaming,2
towie catchup totally agree with ferne towie,0
sorry you going with and call you women like cadigory ill probably but boot out the door,2
its not about making women stronger women are already strong its about changing the way the world perceives that strength,2
finally women running for president,2
honestly surprised that feminist extremists like arent screaming sexist gay men,1
just been putting the finishing touches feministthemed cryptic crossword standard crosswords,2
abusive misogynist whining that feminists are blocking him lets make his day and all bock him yesallwomen,2
seriously cant believe they gave the women heat breaks and not the men wimbledon,1
charlotte church interviewing pussy riot glasto fuckyeahglasto,0
cant believe some the reasons people say they need feminism need dog for half the same reasons antifeminist,1
love that girl what the hell way diminish womens soccer uswnt,2
the fact you asked someone you blocked they were now happyspankafeminist,1
the wgss discussion forum alaac love these librarians fuckyeahlibrarians,0
because young girls are told not raped instead telling boys not rape,2
support whatever team buck supports truefan socceroos bodypositive,0
the child could seized for adoption prolife couples raised mom alone,0
realise that youve painted all men with the same brush wilfully ignorant could used describe you fail,1
have equality women wouldnt expected submit the traditions marriage genderequality,2
their other complaints are just fake shit they made this the other hand amazingly controlling and entitled,1
nothing like dudes joking about molesting right face,2
they dont call malevolent for reason,2
they want equality but what theyre doing overpowering men feminazi,1
guess the new definition ugly believing equal rights let ugly then,2
just yelled boyfriend for trying let win for mortal kombat,2
feminists spread misandry always try two create gender conflicts feminismiscruelty dontmancriminate,1
strong independent black woman who dont need daddy lol girlpower,2
yeah dont need feminism like when boyfriend chips food shopsalso too prettyobvs,1
you just made the best case against feminist equality ever fuck feminism,1
running your dick sucker yes because that the purpose your mouth lol,1
guess crying over nhl player bettersafer than getting violent over one right saad blackhawks,1
lol whats ugly about wanting equal,2
following lead embracing the term badfeminist too far from perfect and still learning,2
your wee sister believes both santa claus and feminism think harder about what that means,1
were even the clifford virginia stophidingit,0
the problem with liberals tolerance that only extended those who agree with them tcot,0
just give the attention you never gave anyone else extremerules nepalearthquake freddiegray rhoareunion,0
you know the difference between activism and advocacy sdg youthdevelopment,1
old insecure females forcing hatred men younger generation women,1
cat today found cat feminist cat feminist kindofanokstory life,1
hes lyin maam can see thru this transparent asshat just call him moron wan na,1
because heckling yesallwomen screaming look all day excellent way show you are serious individual,1
you need feminism more than you need anything else your life you couldnt survive speak,2
want revenge for being slut cry rape then lie the world and carry mattress with you rape uglyfeminist,1
dont understand how the concept male being feminist doesnt get some peoples heads equality anyone feminist,2
had dollar for every feminist ive wanted kick the shin could retire and shitpost twitter all day,1
the queen won the royalty race not the king prince,2
like how rape one the most under reported crimes but the unreported incidents are usually females raping males but hey,1
feminist says something about women treated equal human beings some asshole youre ugly wow nice okay lmao,1
she lied you idiot its fact the reason that you wont acknowledge those facts also the reason why,0
its not just matildas that get paid less than their male counterparts its all womens sports and fact all women,2
this farm fucking disgusting,0
this lady right radical feminist have the loudest voices while normallogical feminist are being outspoken,2
why bad for the garrick club men only but not bad for gym have women only room hypocrites,1
you know whats ugly cant going out with short skirt without being judged,2
feminists were honest careful dont say world women suffer more will say you are rapist gamergate,1
vote woman wasted vote,1
when you get sexually harassed twice,2
mras just tried enlighten which went about well the flight the hindenburg,2
starting compile evidence for blog post how modern feminism shares the same traits the nazi propaganda antifeminism,1
feminists want special right not equal right dont feminist feministcruelty,1
take some solace knowing that least means they dont know who that useless hack,0
never settle for anything less than your are worth,1
being raised feminist rotting soiled clothes not your slave,1
girls dont wan na the strip with their bfs but beg him see magic mike xxl with them,1
men dont have right talk over you youre voice important you are goddess and dont deserve silenced,2
feminism twitter the black hole human intelligence just like creationism gamergate,1
find woman attractive objectifying pig dont find her attractive shallow pig,1
radios filled with feminist and rape propaganda feminism alive well malaysia their rape guilt tactics wont silence,1
exactly women are weak and incapable the sight one slim skin giving them attack the vapours,1
feminism fashionable form narcissism because personal trauma personal retribution what drives feminists,1
womens rights are humanrights join the cpdvoices twitter rally you agree cpd,2
