text,label
man demanded staff get him ice tea hed called sexists elitist pig oink oink hillary,1
were out here gtown and where are you sctweets,0
youre not watching speech right now youre missing her drop tons wisdom,2
how can she live with herself benghazi,1
jimmy fallon music playing thank you donaldtrump for driving latinos and gays out vote the millions love,0
when you fav supports the wrong candidate bernie,0
yes hrc subject dbl standard smh come knew donations would scrutinized spun,1
and the sheeple will still vote for her,1
its monday nightdo you know where your hillary supporters are rock hill our amazing phone bank come joinhillaryforsc,2
lets shoot your now today,0
you are set lose campaign based critics instead proposing bushfail,0
thank you much for favs and rts wakeupamerica,0
will there when your little tree has run out smell thatchampion,0
hey just checked your blog kudos keep,1
lost our military boys when your president pulled out iraq liberalconsequences,1
despite todays ruling our struggle end lgbt discrimination also far from finished virginiajj,2
wgn wgntv now mentions romney hillary care romney care obamacare now public option for all,0
can vote after all ayyyyyyyyyy,0
much like you good people forgot about livetweetingbladerunner couple weeks ago callback potroast cartography blue,0
univision ignores latino candidate marco rubio because doesnt fit their narrativetheyre invested with hillary rubio,1
the most revealing part about hillarys released emails that theyre pretty much boring mine nofriends,1
lol why many people around here hate hillary,2
fortunately bryan does not have saying that freeallfour,1
hillarys new campaign slogan hillary nothing hide but the truth tcot wakeupamerica,1
hopefully hillary clinton gets cancer and dies before she gets the opportunity embarrass our country any further julyth,1
must hard work burying the antilgbt rights record lovewins feelthebern,1
wish bernies fans would stop screaming bernie,1
trumps inauguration speech god forbidmemememechinamemedid mention yetwheres hairspray china,1
lets remember dickcheney unindicted war criminal start yelling benghazi day after day will ever see justice,0
big hillary clinton supporter plan working poor donnie doesnt even know trump,1
totally agree hillary incompetent scandal ridden phony,1
obama give americans overtime pay republicans give americans welfare checks tcot uniteblue,1
not even little bit nobama wemissyougipper,0
will pervert billclinton there winner teen girl hillaryclinton democrats liberals tlot gop,1
shhh get iced tea,1
cant even manage and she wants lol wakeupamerica stophillary,1
askbobby would you blame obscure film maker for the death usambassador benghazi like,1
hillarys new campaign slogan hillary nothing hide but the truth tcot wakeupamerica,1
there anything about the clintons that not fraudulent,1
hillary lies yet people still desire her the president the united states sad,1
this weekend the hillary for america weekend action hope youll participate california,2
report shows state department can not locate hillary clintons private emails not fast hillary,1
hillaryclinton might want book smaller venues for her rallies not many empty seats will seen thats bad lol,1
including repealing the first amendment way,1
support encourage hillaryclinton president unitedstates world success women world,2
remember when millions gwbushs emails went missing deleted iraq war and nobody had hearing yawn,0
did you feel same about billclintons latest assault teen girl hypocrite hillaryclinton hillaryno,1
democratslogans why work when you can vote democrat twice tcot,1
everything hillary touches ends being scam lie coverup failure william just who want president,1
high school decided the first woman president but never got into politics dont have trumps money,0
exactly what dont want see happen america,1
want you president for term please make happen lol fine with,1
great see mentor dcinsd and shes right have the most qualified candidate ever running for potus,2
select few people fired being unethical investigate watergate,1
how much was monica getting paid when bills burrito squirted sauce all over her pretty blue dress,1
hillary clinton might end having vote shes been tackling many issues that america needs face,2
lear jets and fax machineslol woman the people besttheyvegot slushfund uraniumdeal sniperfire,1
hillary her way baltimore their champion baltimoreriots,2
that should have been done before she got rid nohillary,1
yes tell name one her accomplishments,1
now can live peace,0
freedomjusticeequalityeducation for innovation and development make happylife utopia,2
droid someones programmed her say things thinks she doesnt have work win she isnt,1
mamahillary making the case here just exclusively how deal with complex social issues cnn bbc mamaclinton,2
lets make secretary clinton president clinton,2
todays number thats how many years old jesus was when learned ride bike pretty cool dude uswnt proudmom,1
leader free world global navigating interacting with the international community beyond big crowds learned lesson,1
moving forward our next focus should making higher education more attainable and eliminating the gender pay gap,0
then you know how slippery snakes slither over shards glass,0
stephens begged for his life begging for vote notachanceinhell,1
respect for the law and respect the law yes needed desperately baltimoreriots,0
exciting hear more about our fellows all across the country tonights call special shoutout the fellowsia,0
hillaryclinton the presidency testament the success women their role the world,2
hilary has lied deleted benghazi emails and betrayed the trust americans scandal after scandal,1
with continued obamas admin policymaking usa will become greece wakeupamerica,1
the dukes hazzard has been for years yet you werent offended until the liberals told you unitedblue,1
onepercenter lied about being deadbroke more lies,0
bad wife bad role model for women bad lawyer bad first lady bad senator horrible secretary state,1
ceo pay the target for election from someone who makes more than most ceos but you drank the koolaid,0
thank you much for rts wakeupamerica,1
carlyfiorina hannity very impressive serious presidential candidate bad actress,1
the owner univisin donated much million the clinton foundation his wife sits its board univision trump,1
who gives rate ass what old queen has say about clarence thomas,0
its miracle suddenly democrats dont mind having someone who voted for war,1
although certainly have disagreements after reading about much rather have him than,1
hillary pandering with her logo clintonfoundationscandal clintoncash,1
thanks for the follow david may god bless you and your family freeallfour,0
the biggest dumps bad info holiday weekend what comes out and state dept today hillaryemails liarliar,1
great comments about pathological liar hillaryclinton,1
for change and equality,0
sending gay bear love from chicago hillarymypresident,2
america favor you feel you must vote for woman candidate vote for carly who least has integrity unlike,1
cuz you know such feminist,0
hillary has lied deleted benghazi emails and betrayed the trust americans scandal after scandal,1
just met awesome supporter the bus said hillary one strong woman and need that for our country fellowsnv,2
rainbow logo did know only the gay census whyimnotvotingforhillary,1
you stand for billclinton assaulting teen girls too readyforhillary hillaryclinton clinton,1
denial works for hillary why not the mayor baltimore democratliesmatter,1
she aint ways tired being dumbass,0
really excited for after finding out the amount raised got this,1
the deceit hand thats hand you know well right,1
cant expect change continue vote for the same people you have take chance yrs not that long bernie,1
right words longer have meaning like clintonsit depends what the meaning more dont,1
didnt think about that dont think ever vote for someone with dual citizenship cant believe its legal bernie,0
